,X_Ray_Class,X_Ray_Intensity,NOAA_Number_flare,Date_x,magnetic_classification,NOAA,zurich_class,penumbra_class,compactness_class,No_of_spots,longitudanal_extent,Area,Status
100,,,,2000-06-01 07:15:00, B  ,9025,C,R,O,2.0,7.0,30.0,Unassociated
101,,,,2000-06-02 19:07:00, A  ,9022,A,X,X,1.0,1.0,10.0,Unassociated
102,,,,2000-06-03 01:50:00, B  ,9023,B,X,O,5.0,5.0,20.0,Unassociated
103,,,,2000-06-03 01:50:00, B  ,9027,B,X,O,3.0,2.0,10.0,Unassociated
104,,,,2000-06-04 00:46:00, B  ,9029,C,R,O,3.0,3.0,30.0,Unassociated
105,,,,2000-06-14 12:31:00, B  ,9032,B,X,O,3.0,10.0,10.0,Unassociated
106,,,,2000-06-14 14:42:00, B  ,9043,B,X,O,2.0,2.0,10.0,Unassociated
107,,,,2000-06-16 00:59:00, B  ,9038,C,R,O,3.0,1.0,30.0,Unassociated
108,,,,2000-06-17 05:43:00, B  ,9044,C,S,O,3.0,3.0,120.0,Unassociated
109,,,,2000-06-17 13:05:00, A  ,9035,H,S,X,1.0,1.0,60.0,Unassociated
110,,,,2000-06-18 07:15:00, A  ,9037,H,R,X,1.0,1.0,10.0,Unassociated
111,,,,2000-06-18 12:30:00, B  ,9047,B,X,O,4.0,3.0,10.0,Unassociated
112,,,,2000-06-18 15:14:00, B  ,9045,B,X,O,3.0,3.0,10.0,Unassociated
113,,,,2000-06-20 10:15:00, A  ,9053,H,R,X,1.0,1.0,10.0,Unassociated
114,,,,2000-06-23 15:38:00, A  ,9052,H,S,X,1.0,2.0,120.0,Unassociated
115,,,,2000-06-24 05:45:00, A  ,9050,H,S,X,1.0,2.0,60.0,Unassociated
116,,,,2000-06-27 13:05:00, B  ,9060,B,X,O,2.0,3.0,10.0,Unassociated
117,,,,2000-07-03 01:10:00, A  ,9055,H,R,X,1.0,1.0,10.0,Unassociated
118,,,,2000-07-03 01:10:00, A  ,9056,H,S,X,1.0,2.0,110.0,Unassociated
119,,,,2000-07-04 13:50:00, A  ,9057,H,S,X,1.0,2.0,120.0,Unassociated
120,,,,2000-07-05 14:49:00, A  ,9063,A,X,X,2.0,1.0,10.0,Unassociated
121,,,,2000-07-06 05:03:00, A  ,9061,H,S,X,1.0,1.0,20.0,Unassociated
122,,,,2000-07-07 01:07:00, B  ,9065,B,X,O,2.0,1.0,10.0,Unassociated
123,,,,2000-07-07 19:20:00, A  ,9075,H,S,X,1.0,1.0,30.0,Unassociated
124,,,,2000-07-11 12:02:00, B  ,9072,D,S,O,3.0,5.0,40.0,Unassociated
125,,,,2000-07-11 15:05:00, B  ,9083,B,X,O,2.0,3.0,10.0,Unassociated
126,,,,2000-07-12 17:58:00, B  ,9076,B,X,O,2.0,4.0,10.0,Unassociated
127,,,,2000-07-13 12:36:00, B  ,9074,B,X,O,3.0,3.0,10.0,Unassociated
128,,,,2000-07-13 12:36:00, B  ,9078,C,A,O,5.0,7.0,20.0,Unassociated
129,,,,2000-07-18 12:00:00, B  ,9093,C,S,O,2.0,3.0,10.0,Unassociated
130,,,,2000-07-19 18:30:00, BG ,9089,E,K,C,30.0,15.0,470.0,Unassociated
131,,,,2000-07-20 13:30:00, A  ,9092,A,X,X,1.0,1.0,20.0,Unassociated
132,,,,2000-07-20 13:30:00, B  ,9098,B,X,O,4.0,3.0,10.0,Unassociated
133,,,,2000-07-21 06:11:00, A  ,9079,H,S,X,1.0,2.0,30.0,Unassociated
134,,,,2000-07-21 12:30:00, B  ,9080,D,S,O,2.0,2.0,100.0,Unassociated
135,,,,2000-07-22 01:13:00, A  ,9084,H,S,X,1.0,1.0,30.0,Unassociated
136,,,,2000-07-23 11:35:00, A  ,9081,H,S,X,1.0,1.0,20.0,Unassociated
137,,,,2000-07-27 16:25:00, A  ,9102,A,X,X,3.0,1.0,10.0,Unassociated
138,,,,2000-07-28 16:00:00, A  ,9094,A,X,X,1.0,1.0,10.0,Unassociated
139,,,,2000-07-28 16:00:00, A  ,9096,A,X,X,1.0,1.0,10.0,Unassociated
140,,,,2000-07-29 01:29:00, B  ,9101,B,X,O,3.0,3.0,10.0,Unassociated
141,,,,2000-07-30 05:08:00, B  ,9106,C,R,O,5.0,5.0,30.0,Unassociated
142,,,,2000-08-01 01:20:00, A  ,9099,H,S,X,1.0,2.0,60.0,Unassociated
143,,,,2000-08-02 11:30:00, B  ,9109,D,S,O,2.0,2.0,20.0,Unassociated
144,,,,2000-08-02 15:00:00, A  ,9112,A,X,X,1.0,1.0,10.0,Unassociated
145,,,,2000-08-04 15:15:00, A  ,9108,A,X,X,1.0,1.0,10.0,Unassociated
146,,,,2000-08-05 14:20:00, B  ,9113,B,X,O,12.0,10.0,50.0,Unassociated
147,,,,2000-08-07 18:36:00, A  ,9104,H,S,X,1.0,1.0,50.0,Unassociated
148,,,,2000-08-07 18:36:00, A  ,9117,H,S,X,1.0,1.0,10.0,Unassociated
149,,,,2000-08-08 16:35:00, B  ,9116,B,X,O,2.0,3.0,10.0,Unassociated
150,,,,2000-08-10 16:55:00, B  ,9120,C,S,O,3.0,3.0,60.0,Unassociated
151,,,,2000-08-12 01:15:00, A  ,9119,A,X,X,1.0,1.0,10.0,Unassociated
152,,,,2000-08-14 06:00:00, B  ,9121,B,X,O,1.0,10.0,10.0,Unassociated
153,,,,2000-08-14 15:06:00, B  ,9130,B,X,O,7.0,5.0,20.0,Unassociated
154,,,,2000-08-16 06:57:00, A  ,9115,H,S,X,1.0,1.0,30.0,Unassociated
155,,,,2000-08-16 14:00:00, B  ,9133,B,X,O,5.0,4.0,20.0,Unassociated
156,,,,2000-08-17 06:40:00, B  ,9132,B,X,O,2.0,10.0,10.0,Unassociated
157,,,,2000-08-18 03:30:00, B  ,9123,B,X,O,4.0,4.0,10.0,Unassociated
158,,,,2000-08-19 14:00:00, B  ,9128,C,A,O,13.0,6.0,30.0,Unassociated
159,,,,2000-08-21 07:12:00, B  ,9135,B,X,O,2.0,7.0,10.0,Unassociated
160,,,,2000-08-21 07:12:00, B  ,9134,B,X,O,4.0,2.0,10.0,Unassociated
161,,,,2000-08-23 07:20:00, B  ,9137,C,R,O,2.0,2.0,10.0,Unassociated
162,,,,2000-08-29 14:05:00, A  ,9138,A,X,X,1.0,1.0,10.0,Unassociated
163,,,,2000-08-30 17:40:00, A  ,9148,A,X,X,1.0,1.0,10.0,Unassociated
164,,,,2000-09-01 01:20:00, A  ,9150,H,R,X,1.0,1.0,20.0,Unassociated
165,,,,2000-09-03 14:23:00, B  ,9142,B,X,O,2.0,10.0,20.0,Unassociated
166,,,,2000-09-03 14:23:00, A  ,9146,A,X,X,1.0,1.0,10.0,Unassociated
167,,,,2000-09-04 14:45:00, B  ,9153,C,S,O,10.0,6.0,30.0,Unassociated
168,,,,2000-09-05 07:45:00, B  ,9155,D,A,O,3.0,2.0,20.0,Unassociated
169,,,,2000-09-07 01:05:00, A  ,9145,A,X,X,1.0,1.0,30.0,Unassociated
170,,,,2000-09-08 01:59:00, B  ,9159,B,X,O,2.0,5.0,20.0,Unassociated
171,,,,2000-09-09 14:30:00, B  ,9152,B,X,O,2.0,2.0,10.0,Unassociated
172,,,,2000-09-10 17:45:00, A  ,9157,A,X,X,3.0,2.0,10.0,Unassociated
173,,,,2000-09-15 11:33:00, B  ,9162,B,X,O,2.0,6.0,10.0,Unassociated
174,,,,2000-09-17 14:45:00, A  ,9164,H,S,X,1.0,1.0,20.0,Unassociated
175,,,,2000-09-18 00:50:00, B  ,9168,D,S,O,3.0,3.0,40.0,Unassociated
176,,,,2000-09-18 00:50:00, A  ,9163,H,R,X,1.0,1.0,30.0,Unassociated
177,,,,2000-09-20 14:20:00, A  ,9161,A,X,X,1.0,1.0,10.0,Unassociated
178,,,,2000-09-26 17:10:00, A  ,9174,A,X,X,1.0,1.0,10.0,Unassociated
179,,,,2000-09-28 16:30:00, A  ,9175,A,X,X,2.0,2.0,10.0,Unassociated
180,,,,2000-09-29 12:03:00, B  ,9170,B,X,O,3.0,13.0,10.0,Unassociated
181,,,,2000-10-02 17:28:00, A  ,9171,A,X,X,1.0,1.0,10.0,Unassociated
182,,,,2000-10-03 08:25:00, A  ,9180,A,X,X,2.0,1.0,10.0,Unassociated
183,,,,2000-10-03 15:41:00, B  ,9183,B,X,O,3.0,5.0,20.0,Unassociated
184,,,,2000-10-04 12:33:00, B  ,9179,B,X,O,3.0,2.0,10.0,Unassociated
185,,,,2000-10-08 00:50:00, B  ,9186,D,S,O,2.0,9.0,90.0,Unassociated
186,,,,2000-10-13 12:00:00, A  ,9191,A,X,X,1.0,1.0,10.0,Unassociated
187,,,,2000-10-14 12:12:00, B  ,9188,C,S,O,3.0,2.0,10.0,Unassociated
188,,,,2000-10-14 14:14:00, A  ,9189,A,X,X,2.0,2.0,10.0,Unassociated
189,,,,2000-10-14 14:14:00, A  ,9196,A,X,X,2.0,2.0,20.0,Unassociated
190,,,,2000-10-16 14:30:00, B  ,9192,B,X,O,3.0,4.0,10.0,Unassociated
191,,,,2000-10-19 12:30:00, B  ,9190,C,S,O,2.0,2.0,20.0,Unassociated
192,,,,2000-10-23 00:20:00, B  ,9202,B,X,O,5.0,5.0,10.0,Unassociated
193,,,,2000-10-25 13:20:00, B  ,9204,C,S,O,6.0,4.0,20.0,Unassociated
194,,,,2000-10-28 12:13:00, B  ,9211,B,X,O,3.0,3.0,10.0,Unassociated
195,,,,2000-10-29 14:20:00, B  ,9215,B,X,O,4.0,5.0,10.0,Unassociated
196,,,,2000-11-02 06:50:00, B  ,9208,D,S,O,2.0,3.0,30.0,Unassociated
197,,,,2000-11-02 15:24:00, A  ,9217,A,X,X,2.0,3.0,30.0,Unassociated
198,,,,2000-11-03 01:45:00, B  ,9206,B,X,O,2.0,5.0,10.0,Unassociated
199,,,,2000-11-08 08:15:00, B  ,9224,C,A,O,4.0,8.0,30.0,Unassociated
200,,,,2000-11-08 08:15:00, B  ,9226,C,A,O,2.0,2.0,40.0,Unassociated
201,,,,2000-11-09 01:14:00, A  ,9222,H,R,X,1.0,1.0,30.0,Unassociated
202,,,,2000-11-11 12:20:00, B  ,9230,B,X,O,3.0,3.0,10.0,Unassociated
203,,,,2000-11-12 12:30:00, B  ,9225,C,S,O,2.0,1.0,30.0,Unassociated
204,,,,2000-11-12 12:30:00, A  ,9220,A,X,X,1.0,1.0,10.0,Unassociated
205,,,,2000-11-13 00:50:00, A  ,9219,H,S,X,1.0,2.0,50.0,Unassociated
206,,,,2000-11-15 11:30:00, B  ,9228,C,R,O,2.0,2.0,20.0,Unassociated
207,,,,2000-11-21 13:15:00, A  ,9229,H,S,X,1.0,1.0,10.0,Unassociated
208,,,,2000-11-22 13:00:00, A  ,9232,A,X,X,2.0,2.0,20.0,Unassociated
209,,,,2000-11-24 15:30:00, B  ,9241,B,X,O,2.0,2.0,10.0,Unassociated
210,,,,2000-11-26 13:10:00, B  ,9233,B,X,O,2.0,4.0,30.0,Unassociated
211,,,,2000-12-03 12:15:00, B  ,9243,D,S,O,6.0,8.0,40.0,Unassociated
212,,,,2000-12-06 12:15:00, A  ,9256,H,S,X,2.0,1.0,10.0,Unassociated
213,,,,2000-12-06 16:50:00, A  ,9245,A,X,X,1.0,1.0,10.0,Unassociated
214,,,,2000-12-07 19:45:00, A  ,9249,A,X,X,1.0,2.0,10.0,Unassociated
215,,,,2000-12-08 12:37:00, B  ,9259,B,X,O,3.0,6.0,20.0,Unassociated
216,,,,2000-12-09 15:38:00, A  ,9260,H,S,X,2.0,2.0,50.0,Unassociated
217,,,,2000-12-11 00:19:00, B  ,9258,C,S,O,3.0,2.0,10.0,Unassociated
218,,,,2000-12-12 00:10:00, A  ,9263,H,S,X,1.0,1.0,40.0,Unassociated
219,,,,2000-12-12 12:13:00, A  ,9254,A,X,X,2.0,2.0,20.0,Unassociated
220,,,,2000-12-13 07:57:00, A  ,9255,H,R,X,1.0,1.0,20.0,Unassociated
221,,,,2000-12-13 18:20:00, B  ,9257,C,S,O,3.0,4.0,30.0,Unassociated
222,,,,2000-12-18 08:03:00, A  ,9265,H,R,X,1.0,1.0,10.0,Unassociated
223,,,,2000-12-18 12:32:00, A  ,9275,A,X,X,2.0,1.0,10.0,Unassociated
224,,,,2000-12-21 15:38:00, B  ,9273,B,X,O,5.0,4.0,10.0,Unassociated
225,,,,2000-12-23 15:45:00, A  ,9281,A,X,X,3.0,1.0,10.0,Unassociated
226,,,,2000-12-24 00:30:00, B  ,9284,C,S,O,4.0,3.0,20.0,Unassociated
227,,,,2000-12-26 00:20:00, A  ,9268,H,S,X,1.0,1.0,60.0,Unassociated
228,,,,2000-12-26 12:42:00, B  ,9288,D,R,O,2.0,3.0,10.0,Unassociated
229,,,,2000-12-26 12:42:00, A  ,9286,H,R,X,1.0,1.0,10.0,Unassociated
230,,,,2000-12-26 12:42:00, B  ,9287,D,R,O,4.0,5.0,20.0,Unassociated
231,,,,2000-12-31 01:55:00, A  ,9282,H,S,X,1.0,1.0,10.0,Unassociated
232,,,,2001-01-06 00:30:00, A  ,9292,A,X,X,2.0,1.0,10.0,Unassociated
233,,,,2001-01-06 15:10:00, B  ,9293,C,S,O,2.0,2.0,10.0,Unassociated
234,,,,2001-01-07 12:35:00, A  ,9291,H,S,X,1.0,1.0,30.0,Unassociated
235,,,,2001-01-07 16:34:00, B  ,9299,B,X,O,2.0,2.0,10.0,Unassociated
236,,,,2001-01-08 00:25:00, B  ,9300,B,X,O,4.0,3.0,10.0,Unassociated
237,,,,2001-01-09 01:47:00, A  ,9297,H,S,X,1.0,1.0,30.0,Unassociated
238,,,,2001-01-09 12:32:00, A  ,9303,A,X,X,1.0,2.0,30.0,Unassociated
239,,,,2001-01-09 12:32:00, A  ,9298,A,X,X,1.0,1.0,10.0,Unassociated
240,,,,2001-01-12 08:14:00, A  ,9305,H,R,X,1.0,1.0,10.0,Unassociated
241,,,,2001-01-12 16:15:00, A  ,9295,H,S,X,1.0,1.0,20.0,Unassociated
242,,,,2001-01-14 13:10:00, B  ,9296,C,S,O,2.0,2.0,30.0,Unassociated
243,,,,2001-01-15 17:12:00, A  ,9309,A,X,X,1.0,1.0,20.0,Unassociated
244,,,,2001-01-19 01:30:00, B  ,9314,B,X,O,3.0,2.0,10.0,Unassociated
245,,,,2001-01-19 16:12:00, B  ,9315,C,S,O,2.0,8.0,40.0,Unassociated
246,,,,2001-01-19 16:12:00, A  ,9310,A,X,X,2.0,1.0,10.0,Unassociated
247,,,,2001-01-20 19:32:00, B  ,9312,B,X,O,3.0,4.0,10.0,Unassociated
248,,,,2001-01-21 01:52:00, B  ,9318,B,X,O,6.0,4.0,10.0,Unassociated
249,,,,2001-01-25 13:00:00, B  ,9324,B,X,O,3.0,1.0,10.0,Unassociated
250,,,,2001-01-26 02:20:00, B  ,9323,C,R,O,4.0,6.0,20.0,Unassociated
251,,,,2001-01-29 00:45:00, B  ,9316,D,S,O,2.0,1.0,10.0,Unassociated
252,,,,2001-01-29 17:58:00, A  ,9326,A,X,X,2.0,1.0,10.0,Unassociated
253,,,,2001-01-29 17:58:00, A  ,9322,A,X,X,1.0,1.0,10.0,Unassociated
254,,,,2001-01-30 00:30:00, A  ,9328,H,A,X,3.0,1.0,50.0,Unassociated
255,,,,2001-02-01 12:09:00, A  ,9331,A,X,X,2.0,2.0,10.0,Unassociated
256,,,,2001-02-03 12:45:00, B  ,9332,C,S,O,3.0,5.0,20.0,Unassociated
257,,,,2001-02-05 13:19:00, A  ,9333,A,X,X,1.0,1.0,10.0,Unassociated
258,,,,2001-02-06 12:39:00, B  ,9336,B,X,O,4.0,3.0,10.0,Unassociated
259,,,,2001-02-08 11:54:00, A  ,9340,H,A,X,1.0,1.0,10.0,Unassociated
260,,,,2001-02-08 17:20:00, B  ,9337,C,S,O,4.0,2.0,40.0,Unassociated
261,,,,2001-02-10 13:05:00, B  ,9344,C,S,O,2.0,1.0,10.0,Unassociated
262,,,,2001-02-11 11:25:00, A  ,9341,H,R,X,1.0,1.0,10.0,Unassociated
263,,,,2001-02-11 16:35:00, B  ,9345,C,A,O,4.0,4.0,20.0,Unassociated
264,,,,2001-02-15 15:30:00, A  ,9342,A,X,X,1.0,1.0,10.0,Unassociated
265,,,,2001-02-16 00:15:00, A  ,9339,H,S,X,1.0,1.0,60.0,Unassociated
266,,,,2001-02-17 07:35:00, B  ,9347,C,S,O,2.0,3.0,20.0,Unassociated
267,,,,2001-02-18 12:10:00, B  ,9351,C,S,O,2.0,3.0,10.0,Unassociated
268,,,,2001-02-19 15:45:00, A  ,9355,A,X,X,3.0,2.0,10.0,Unassociated
269,,,,2001-02-20 08:15:00, A  ,9349,H,R,X,1.0,1.0,20.0,Unassociated
270,,,,2001-02-20 08:15:00, B  ,9352,C,A,O,2.0,2.0,20.0,Unassociated
271,,,,2001-02-23 18:45:00, A  ,9356,A,X,X,1.0,1.0,10.0,Unassociated
272,,,,2001-02-26 07:25:00, B  ,9357,D,A,O,7.0,7.0,60.0,Unassociated
273,,,,2001-02-27 12:42:00, A  ,9358,H,S,X,3.0,2.0,10.0,Unassociated
274,,,,2001-02-28 00:20:00, B  ,9361,C,R,O,2.0,1.0,20.0,Unassociated
275,,,,2001-03-01 02:10:00, A  ,9360,H,S,X,1.0,1.0,10.0,Unassociated
276,,,,2001-03-06 09:00:00, B  ,9369,D,A,O,4.0,9.0,80.0,Unassociated
277,,,,2001-03-07 02:05:00, A  ,9367,H,R,X,1.0,1.0,10.0,Unassociated
278,,,,2001-03-11 07:55:00, A  ,9377,H,R,X,1.0,1.0,10.0,Unassociated
279,,,,2001-03-12 15:30:00, A  ,9375,A,X,X,1.0,1.0,10.0,Unassociated
280,,,,2001-03-13 12:15:00, B  ,9378,C,S,O,2.0,2.0,20.0,Unassociated
281,,,,2001-03-13 14:45:00, A  ,9379,A,X,X,1.0,1.0,10.0,Unassociated
282,,,,2001-03-14 14:45:00, A  ,9374,A,X,X,3.0,2.0,10.0,Unassociated
283,,,,2001-03-15 12:00:00, A  ,9381,A,X,X,2.0,2.0,10.0,Unassociated
284,,,,2001-03-17 14:00:00, B  ,9383,C,A,O,3.0,6.0,90.0,Unassociated
285,,,,2001-03-18 10:47:00, B  ,9385,C,R,O,2.0,1.0,10.0,Unassociated
286,,,,2001-03-19 09:05:00, A  ,9386,H,R,X,1.0,1.0,10.0,Unassociated
287,,,,2001-03-19 12:05:00, A  ,9380,H,R,X,1.0,1.0,10.0,Unassociated
288,,,,2001-03-21 18:10:00, B  ,9391,C,S,O,2.0,2.0,10.0,Unassociated
289,,,,2001-03-22 00:31:00, B  ,9388,C,R,O,4.0,3.0,30.0,Unassociated
290,,,,2001-03-26 00:48:00, A  ,9398,H,S,X,1.0,1.0,10.0,Unassociated
291,,,,2001-03-26 00:48:00, A  ,9392,H,S,X,1.0,3.0,60.0,Unassociated
292,,,,2001-03-28 16:05:00, A  ,9400,A,X,X,2.0,1.0,10.0,Unassociated
293,,,,2001-03-28 16:05:00, B  ,9399,B,X,O,2.0,8.0,10.0,Unassociated
294,,,,2001-03-29 11:04:00, B  ,9405,B,X,O,3.0,4.0,10.0,Unassociated
295,,,,2001-03-29 11:04:00, B  ,9394,H,R,O,2.0,1.0,10.0,Unassociated
296,,,,2001-03-30 00:40:00, A  ,9387,H,S,X,1.0,2.0,60.0,Unassociated
297,,,,2001-03-30 15:30:00, A  ,9411,A,X,X,2.0,2.0,20.0,Unassociated
298,,,,2001-03-30 15:30:00, B  ,9410,B,X,O,4.0,3.0,30.0,Unassociated
299,,,,2001-03-30 15:30:00, B  ,9396,B,X,O,3.0,10.0,80.0,Unassociated
300,,,,2001-04-03 14:30:00, A  ,9395,A,X,X,1.0,1.0,10.0,Unassociated
301,,,,2001-04-04 17:06:00, A  ,9414,A,X,X,1.0,1.0,10.0,Unassociated
302,,,,2001-04-05 12:35:00, B  ,9416,C,S,O,4.0,6.0,20.0,Unassociated
303,,,,2001-04-06 11:50:00, A  ,9408,H,A,X,1.0,3.0,90.0,Unassociated
304,,,,2001-04-06 11:50:00, A  ,9413,H,S,X,1.0,3.0,60.0,Unassociated
305,,,,2001-04-06 15:05:00, B  ,9412,B,X,O,3.0,3.0,10.0,Unassociated
306,,,,2001-04-09 00:06:00, A  ,9407,H,S,X,1.0,2.0,60.0,Unassociated
307,,,,2001-04-09 16:09:00, A  ,9406,H,S,X,1.0,2.0,60.0,Unassociated
308,,,,2001-04-09 16:09:00, A  ,9421,H,S,X,1.0,2.0,50.0,Unassociated
309,,,,2001-04-10 14:38:00, A  ,9419,A,X,X,1.0,1.0,10.0,Unassociated
310,,,,2001-04-11 07:50:00, A  ,9425,H,S,X,1.0,1.0,10.0,Unassociated
311,,,,2001-04-12 00:18:00, B  ,9423,B,X,O,3.0,2.0,10.0,Unassociated
312,,,,2001-04-16 00:45:00, A  ,9420,H,R,X,1.0,1.0,40.0,Unassociated
313,,,,2001-04-16 12:30:00, A  ,9427,H,S,X,1.0,2.0,10.0,Unassociated
314,,,,2001-04-17 00:50:00, B  ,9422,B,X,O,3.0,3.0,10.0,Unassociated
315,,,,2001-04-18 05:40:00, A  ,9426,A,X,X,2.0,1.0,10.0,Unassociated
316,,,,2001-04-18 05:40:00, A  ,9430,A,X,X,2.0,2.0,20.0,Unassociated
317,,,,2001-04-21 15:11:00, B  ,9434,C,S,O,2.0,4.0,20.0,Unassociated
318,,,,2001-04-24 14:24:00, A  ,9438,A,X,X,1.0,1.0,10.0,Unassociated
319,,,,2001-04-24 14:24:00, A  ,9429,A,X,X,1.0,1.0,20.0,Unassociated
320,,,,2001-04-28 00:10:00, B  ,9439,C,R,O,2.0,2.0,30.0,Unassociated
321,,,,2001-04-28 12:08:00, A  ,9435,H,S,X,1.0,2.0,60.0,Unassociated
322,,,,2001-04-29 14:38:00, B  ,9440,C,A,O,2.0,3.0,20.0,Unassociated
323,,,,2001-04-30 05:23:00, A  ,9446,A,X,X,3.0,1.0,10.0,Unassociated
324,,,,2001-04-30 05:23:00, A  ,9437,A,X,X,2.0,1.0,10.0,Unassociated
325,,,,2001-05-03 00:10:00, A  ,9444,A,X,X,4.0,2.0,10.0,Unassociated
326,,,,2001-05-03 15:50:00, A  ,9436,H,S,X,1.0,2.0,60.0,Unassociated
327,,,,2001-05-06 14:40:00, A  ,9442,H,S,X,1.0,1.0,50.0,Unassociated
328,,,,2001-05-09 05:25:00, A  ,9450,A,X,X,1.0,1.0,10.0,Unassociated
329,,,,2001-05-10 05:37:00, B  ,9453,C,R,O,4.0,6.0,30.0,Unassociated
330,,,,2001-05-13 11:15:00, A  ,9448,H,S,X,1.0,2.0,90.0,Unassociated
331,,,,2001-05-14 17:11:00, A  ,9457,A,X,X,1.0,1.0,10.0,Unassociated
332,,,,2001-05-15 01:38:00, A  ,9460,A,X,X,1.0,1.0,10.0,Unassociated
